PERIODO,NIU,DIUG,FIUG,CEC,VCD,VCF,GRUPO_CALIDAD_x,NIVEL_TENSION_x,CARGO_DISTRIBUCION,CONSUMO_MES,MES_FACTURADOS,%_PROP._ACTIVO,COMPENSADO,ALTITUD,LONGITUD,LATITUD
2025-07,2017088,40.96,23,55.272,4410.674,0.0,31,1,398.997,110.0,2,100,1,1225.0,-76.311316,4.556691
2025-07,20230499250,10.25,13,0.0,0.0,0.0,12,1,398.997,181.0,1,100,0,966.0,-76.306355,3.892217
2025-07,3471436,11.1,12,0.0,0.0,0.0,21,1,398.997,29.0,1,100,0,964.0,-76.440109,3.697498
2025-08,1102220,57.02,26,0.0,0.0,0.0,32,1,398.37,0.0,2,100,0,1411.0,-76.377047,4.195521
2025-08,3673578,10.25,13,0.0,0.0,0.0,12,1,398.37,0.0,2,100,0,967.0,-76.535412,3.273681
2025-08,1903391,57.02,26,0.0,0.0,0.0,32,1,398.37,187.0,2,100,0,1813.0,-76.108963,4.855532
2025-08,1608831,11.1,12,55.497,4421.694,0.0,21,1,398.37,55.0,1,100,1,960.0,-76.41784,3.400681
2025-08,20250108487,10.25,13,0.0,0.0,0.0,12,1,398.37,0.0,2,100,0,976.0,-76.542881,3.24717
2025-08,1067123,10.25,13,0.0,0.0,0.0,12,1,398.37,75.0,1,100,0,967.0,-76.29655,3.918938
2025-08,3185181,57.02,26,65.218,5196.154,0.0,32,1,398.37,65.0,2,100,1,1405.0,-76.378092,4.037496
2025-07,1551030,8.49,7,0.0,0.0,0.0,13,1,398.997,196.0,1,100,0,10.0,-77.061849,3.881565
2025-07,3903153,11.1,12,0.0,0.0,0.0,21,1,398.997,88.0,1,100,0,946.0,-76.153003,4.423435
2025-08,1630923,40.96,23,0.0,0.0,0.0,31,1,398.37,105.0,2,100,0,975.0,-76.380252,3.61263
2025-07,4196402,10.87,11,0.0,0.0,0.0,11,1,398.997,84.0,1,100,0,1026.0,-76.28236,3.555516
2025-08,3829597,11.1,12,0.0,0.0,0.0,21,1,398.37,117.0,1,100,0,952.0,-76.162187,4.175821
2025-07,1772892,10.87,11,0.0,0.0,0.0,11,1,398.997,57.0,1,100,0,1001.0,-76.304976,3.51214
2025-07,30871130137,9.32,10,0.0,0.0,0.0,12,2,279.076,0.0,2,101,0,962.0,-76.511663,3.233578
2025-08,1793850,10.87,11,0.0,0.0,0.0,11,1,398.37,21.0,1,100,0,1013.0,-76.287882,3.533122
2025-08,3825689,57.02,26,0.0,0.0,0.0,32,1,398.37,0.0,2,100,0,966.0,-76.492631,3.213948
2025-07,1031810,10.25,13,89.0,7102.149,0.0,12,1,398.997,89.0,1,100,1,1069.0,-76.28707,3.899665
